thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,4,Main,24,0.9017229999990377,up,1,90,up,0.05040816326530612,conf,0.0,0.37570839999898453,2.1024523783736493,3.0069563227305722,0,22,M,R,
,,4,Main,25,0.627161199998227,up,1,90,up,1.0,conf,0.96,1.0304409000018495,4.692758812157155,3.3917361362138525,0,22,M,R,
,,4,Main,26,0.7290477999995346,down,1,270,down,0.9595918367346938,conf,0.94,1.1632591000015964,2.2264893304585653,1.5252534814879934,0,22,M,R,
,,4,Main,27,0.6431273999987752,up,1,90,up,1.0,control,0.94,0.9097450000008394,2.9761881173444014,1.2382817314918824,0,22,M,R,
,,4,Main,28,1.232485500000621,up,0,270,down,0.15142857142857144,conf,-0.18000000000000005,0.9590524000013829,3.218638889626135,1.4966420636569122,0,22,M,R,
,,4,Main,29,0.8701884000001883,up,1,90,up,0.07061224489795918,control,0.19999999999999996,0.8518409999996948,3.6615994956522417,1.6793523140931004,0,22,M,R,
,,4,Main,30,1.3068875999997545,down,1,270,down,0.01,control,-0.19999999999999996,0.8898349000010057,2.609699023549262,2.377242979460883,0,22,M,R,
,,4,Main,31,0.9598600000026636,down,0,90,up,0.05040816326530612,conf,0.0,0.30188949999865144,4.636862055132569,3.861349461798624,0,22,M,R,
,,4,Main,32,1.4064576999990095,down,1,270,down,0.030204081632653063,control,0.06000000000000005,1.427699299998494,2.1553990496639153,1.2625416905303577,0,22,M,R,
,,4,Main,33,0.6688159000004816,up,1,90,up,0.9393877551020408,conf,0.8799999999999999,1.0288834999992105,3.119641751639116,3.2716423979426983,0,22,M,R,
,,4,Main,34,0.7826163999998244,up,1,90,up,0.1716326530612245,control,0.15999999999999992,0.8977014000010968,4.42974313959429,3.545248078752266,0,22,M,R,
,,4,Main,35,0.8573542000012822,up,1,90,up,0.01,conf,0.15999999999999992,0.7851929999997083,4.2654934558325115,1.3398070500766228,0,22,M,R,
